player,line
Cooper Rush,207.5
Daniel Jones,196.5
Tua Tagovailoa,260.5
Joe Burrow,265.5
Kirk Cousins,265.5
Jameis Winston,225.5
Davis Mills,215.5
Justin Herbert,270.5
Justin Fields,159.5
Geno Smith,220.5
Jared Goff,249.5
Trevor Lawrence,245.5
Jalen Hurts,245.5
Marcus Mariota,210.5
Jacoby Brissett,200.5
Ryan Tannehill,205.5
Matt Ryan,225.5
Carson Wentz,235.4
Josh Allen,285.5
Lamar Jackson,230.5
Kyler Murray,250.5
Baker Mayfield,195.5
Russell Wilson,225.5
Derek Carr,255.5
Aaron Rodgers,230.5
Patrick Mahomes,280.5
Tom Brady,255.5
Matthew Stafford,265.5
Jimmy Garoppolo,225.5
