player,line
Cooper Rush,3.5
Daniel Jones,21.5
Ezekiel Elliott,59.5
Saquon Barkley,76.5
Tony Pollard,37.5
Alvin Kamara,52.5
Dameon Pierce,59.5
Austin Ekeler,49.5
Rashaad Penny,49.5
James Robinson,52.5
Miles Sanders,54.5
Travis Etienne,29.5
Michael Carter,38.5
Breece Hall,32.5
Cordarrelle Patterson,43.5
Nick Chubb,88.5
Derrick Henry,80.5
Jonathan Taylor,82.5
Antonio Gibson,48.5
James Conner,38.5
Christian McCaffrey,62.5
Javonte Williams,50.5
Josh Jacobs,57.5
Melvin Gordon,38.5
Aaron Jones,55.5
A.J. Dillon,50.5
Leonard Fournette,62.5
Cam Akers,42.5
Jeffery Wilson,53.5
