player,line
Bailey Falter,4.5
Erick Fedde,5.0
Graham Ashcraft,5.5
Adrian Sampson,4.5
Jordan Lyles,5.5
Domingo Germán,4.0
Nick Pivetta,5.0
Alek Manoah,5.0
Brady Singer,5.5
Aaron Civale,4.0
Joe Ryan,4.5
Tyler Alexander,5.0
Jacob deGrom,4.0
Max Fried,5.0
Sandy Alcantara,5.5
Corbin Burnes,4.0
Drew Rasmussen,5.0
Framber Valdez,5.5
Johan Oviedo,4.0
Jack Flaherty,4.0
Glenn Otto,5.0
Reid Detmers,4.5
Davis Martin,5.0
Yu Darvish,5.0
Ken Waldichuk,4.5
Logan Gilbert,5.0
Chad Kuhl,5.0
Clayton Kershaw,4.0
