player,line
Bryce Harper,8.0
Luke Voit,5.0
Rhys Hoskins,7.5
Willson Contreras,6.0
Jonathan India,6.5
Aaron Judge,9.0
Cedric Mullins,6.5
Anthony Rizzo,6.5
Adley Rutschman,6.5
Vladimir Guerrero Jr.,8.0
George Springer,7.0
Bo Bichette,7.0
José Ramírez,7.0
Bobby Witt Jr.,7.0
Amed Rosario,6.0
Salvador Perez,7.0
Riley Greene,5.5
Carlos Correa,7.5
Luis Arraez,6.5
Austin Riley,5.0
Pete Alonso,6.0
Ronald Acuña Jr.,5.0
Francisco Lindor,5.5
Christian Yelich,5.0
Willy Adames,5.0
Jose Altuve,7.0
Wander Franco,5.5
Alex Bregman,6.5
Paul Goldschmidt,7.5
Bryan Reynolds,5.5
Nolan Arenado,7.0
Marcus Semien,6.5
Mike Trout,8.0
Shohei Ohtani,7.5
Manny Machado,7.5
José Abreu,5.5
Juan Soto,7.0
Eloy Jiménez,5.5
Mitch Haniger,6.5
Ty France,6.5
Trea Turner,8.0
Mookie Betts,8.0
Freddie Freeman,7.5
Joc Pederson,5.5
Ketel Marte,5.5
