player,line
Bailey Falter,5.0
Erick Fedde,4.0
Graham Ashcraft,4.5
Adrian Sampson,4.0
Jordan Lyles,4.0
Domingo Germán,4.5
Nick Pivetta,4.5
Alek Manoah,6.0
Brady Singer,4.5
Aaron Civale,5.0
Joe Ryan,6.0
Tyler Alexander,3.0
Jacob deGrom,9.0
Max Fried,5.0
Sandy Alcantara,6.5
Corbin Burnes,8.0
Drew Rasmussen,4.0
Framber Valdez,6.0
Johan Oviedo,3.5
Jack Flaherty,5.5
Glenn Otto,4.0
Reid Detmers,5.5
Davis Martin,3.0
Yu Darvish,6.0
Ken Waldichuk,4.5
Logan Gilbert,6.0
Chad Kuhl,4.0
Clayton Kershaw,6.0
Merrill Kelly,5.5
Alex Cobb,4.0
