player,line
Bryce Harper,1.5
Victor Robles,0.5
Tres Barrera,0.5
Christopher Morel,0.5
Jose Barrero,0.5
Austin Romine,0.5
Aaron Judge,1.5
Kyle Higashioka,0.5
Rougned Odor,0.5
Oswaldo Cabrera,0.5
Jorge Mateo,0.5
Gunnar Henderson,0.5
Triston Casas,0.5
Reese McGuire,0.5
Bo Bichette,1.5
Kiké Hernández,0.5
Luke Maile,0.5
Michael Massey,0.5
Drew Waters,0.5
Gabriel Arias,0.5
Gio Urshela,1.5
Victor Reyes,0.5
Jose Miranda,1.5
Spencer Torkelson,0.5
Matt Wallner,0.5
Charles Leblanc,0.5
Jordan Groshans,0.5
Tyrone Taylor,0.5
Omar Narváez,0.5
Luis Urías,0.5
Jose Siri,0.5
Jack Suwinski,0.5
Yadier Molina,0.5
Bubba Thompson,0.5
Livan Soto,0.5
Jo Adell,0.5
Yasmani Grandal,0.5
Gavin Sheets,0.5
Austin Nola,0.5
Shea Langeliers,0.5
Nick Allen,0.5
Cal Raleigh,0.5
Conner Capel,0.5
Dylan Moore,0.5
Jarred Kelenic,0.5
Alan Trejo,0.5
Elias Díaz,0.5
Elehuris Montero,0.5
Joey Gallo,0.5
Cody Bellinger,0.5
Joey Bart,0.5
Geraldo Perdomo,0.5
Jason Vosler,0.5
David Villar,0.5
