player,line
Marcus Mariota,215.5
Kirk Cousins,260.5
Justin Herbert,275.5
Davis Mills,232.5
Justin Fields,148.5
Daniel Jones,195.5
Geno Smith,249.5
Jared Goff,256.5
Trevor Lawrence,245.5
Jalen Hurts,247.5
Zach Wilson,205.5
Mitch Trubisky,212.5
Jacoby Brissett,208.5
Ryan Tannehill,215.5
Matt Ryan,230.5
Carson Wentz,229.5
Cooper Rush,230.5
Josh Allen,280.5
Lamar Jackson,228.5
Kyler Murray,240.5
Baker Mayfield,205.5
Russell Wilson,238.5
Derek Carr,270.5
Aaron Rodgers,234.5
Patrick Mahomes,266.5
Tom Brady,270.5
Matthew Stafford,262.5
Jimmy Garoppolo,220.5
