player,line
Vikings DST,3.0
Saints DST,2.5
Chargers DST,3.0
Texans DST,2.0
Bears DST,2.5
Giants DST,2.5
Seahawks DST,2.0
Lions DST,2.5
Jaguars DST,2.5
Eagles DST,3.0
Jets DST,2.5
Steelers DST,2.5
Browns DST,2.5
Falcons DST,2.0
Titans DST,2.0
Colts DST,2.5
Commanders DST,2.5
Cowboys DST,3.5
Bills DST,2.5
Ravens DST,2.5
Cardinals DST,2.5
Panthers DST,3.0
Broncos DST,2.5
Raiders DST,2.0
Patriots DST,1.5
Packers DST,3.0
Chiefs DST,2.5
Buccaneers DST,2.0
Rams DST,2.5
49ers DST,3.0
